,Name,Lables,Units,Levels
1,CHILDID,CHILD IDENTIFICATION NUMBER,,
2,K1_AGE,CHILD ASSESSMENT AGE: Kindergarten_1,years,
3,K2_AGE,CHILD ASSESSMENT AGE: Kindergarten_2,years,
4,G1_2_AGE,CHILD ASSESSMENT AGE: Grade1_2,,
5,G2_2_AGE,CHILD ASSESSMENT AGE: Grade2_2,,
6,CHSEX,CHILD COMPOSITE SEX,,
7,K1_READ,READING: Kindergarten_1,,
8,K2_READ,READING: Kindergarten_2,,
9,G1_2_READ,READING: Grade1_2,,
10,G2_2_READ,READING: Grade2_2,,
11,K1_Math,MATH: Kindergarten_1,,
12,K2_Math,MATH: Kindergarten_2,,
13,G1_2_Math,MATH: Grade1_2,,
14,G2_2_Math,MATH: Grade2_2,,
15,K2_SCI,SCIENCE: Kindergarten_2,,
16,G1_2_SCI,SCIENCE: Grade1_2,,
17,G2_2_SCI,SCIENCE: Grade2_2,,
18,K1_DCCSTOT,Dimensional Change Card Sort: Kindergarten_1,,
19,K2_DCCSTOT,Dimensional Change Card Sort: Grade1_2,,
20,G1_2_DCCSTOT,Dimensional Change Card Sort: Grade2_2,,
21,G2_2_DCCSSCR,Dimensional Change Card Sort computed: Grade2_2,,
22,K2_GIFK,GIFTED-TALENT NOT OFFERED IN K,,2
23,G1_2_GIFK,GIFTED-TALENT NOT OFFERED IN G1,,2
24,K2_GIFS,GIFTED-TALENT NOT OFFERED AT SCHOOL,,2
25,G1_2_GIFS,GIFTED-TALENT NOT OFFERED AT SCHOOL,,2
26,G2_2_Sep1Cut,A CUTOFF DATE FOR CHILD TO TURN FIVE TO ENTER KINDERGARTEN,,2
27,G2_2_Sep1Cut_t,convert G2_2_Sep1Cut value to 1 or 0,,2
28,K2_CLSI, CLASS SIZES DECREASED: Kindergarten_2,,2
29,G1_2_CLSI, CLASS SIZES DECREASED: Grade1_2,,2
30,G2_2_CLSI, CLASS SIZES DECREASED:Grade2_2,,2
31,PreK,PRESCHOOL GOOD FOR KINDERGARTEN,,5
32,PreKt,convert PreK value to  number ,,5
33,K1_LOC,LOCATION TYPE OF SCHOOL: Kindergarten_1,,4
34,K2_LOC,LOCATION TYPE OF SCHOOL: Kindergarten_2,,4
35,G1_2_LOC,LOCATION TYPE OF SCHOOL: Grade1_2,,4
36,G2_2_LOC,LOCATION TYPE OF SCHOOL: Grade1_2,,4
37,K1_LOCt,"convert K1_LOC value to number: 1=CITY, 2=SUBURB, 3=TOWN, 4=RURAL",,4
38,K2_LOCt,"convert K2_LOC value to number: 1=CITY, 2=SUBURB, 3=TOWN, 4=RURAL",,4
39,G1_2_LOCt,"convert G1_2_LOCC value to number: 1=CITY, 2=SUBURB, 3=TOWN, 4=RURAL",,4
40,G2_2_LOCt,"convert G2_2_LOC value to number: 1=CITY, 2=SUBURB, 3=TOWN, 4=RURAL",,4
41,K2_Prthlp,PARENT VOLUNTEERS REGULARLY: Kindergarten_2,,6
42,G1_2_Prthlp,PARENT VOLUNTEERS REGULARLY: Grade1_2,,6
43,G2_2_Prthlp,PARENT VOLUNTEERS REGULARLY: Grade2_2,,6
44,K1_PrtW,PARENTS WORK HOURS PER WEEK: Kindergarten_1,,2
45,G1_2_PrtW,PARENTS WORK HOURS PER WEEK: Grade1_2,,2
46,G2_2_PrtW,PARENTS WORK HOURS PER WEEK: Grade2_2,,2
47,PrtEDU,HIGHEST EDUCATION LEVEL PARENTS ACHIEVED,,7
48,PrtEDUt,convert PrtEDU to number: higher number means higher education level,,7
49,K2_Prtconf,PARENT ATTEND OPEN HOUSE/PARTY: Kindergarten_2,,5
50,G1_2_Prtconf,PARENT ATTEND CONFERENCES: Grade1_2,,5
51,G2_2_Prtconf,PARENT ATTEND OPEN HOUSE/PARTY:Grade2_2,,5
52,K2_Prtoph,PARENT ATTEND OPEN HOUSE/PARTY: Kindergarten_2,,5
53,G1_2_Prtoph,PARENT ATTEND OPEN HOUSE/PARTY: Grade1_2,,5
54,G2_2_Prtoph,PARENT ATTEND OPEN HOUSE/PARTY:Grade2_2,,5
55,G1_2_Prtevt,PARENT ATTEND ART/MUSIC EVENT: Grade1_2,,5
56,G2_2_Prtevt,PARENT ATTEND ART/MUSIC EVENT: Grade2_2,,5
57,G1_2_Prtpsk,PARENT OPINOION ON HAVING CHILDREN IN PRESCHOOL,,2
58,G2_2_Prtpsk,PARENT OPINOION ON HAVING CHILDREN IN PRESCHOOL,,2
59,Prtpremth,PARENT OPINOION ON HAVING PRESCH RD/MATH GOOD FOR SCHOOL,,5
60,Prtprelitr,PARENT OPINOION ON HAVING CHILD KNOW ALPHABET BEFORE K,,5
61,Prthw ,PARENT PROVIDES HOMEWORK TIME,,5
62,Prtrc ,PARENT SHD READ/COUNT WITH CHILD,,5
63,Sumsch,CHILD ATTENDED SUMMER SCHOOL,,2
64,Summth,DO MATH ACTVTY WITH CHILD IN SUMMER,,5
65,Sumwrt,DO WRITING ACTVTY WITH CHILD IN SUMMER,,5
