Value,Label
X6AGE,-9: NOT ASCERTAINED
X5AGE,-9: NOT ASCERTAINED
X4AGE,-9: NOT ASCERTAINED
X3AGE,-9: NOT ASCERTAINED
X2KAGE_R,-9: NOT ASCERTAINED
X1KAGE_R,-9: NOT ASCERTAINED
X_CHSEX_R,-9: NOT ASCERTAINED
X_CHSEX_R,1: MALE
X_CHSEX_R,2: FEMALE
X1RTHETK2,-9: NOT ASCERTAINED
X2RTHETK2,-9: NOT ASCERTAINED
X3RTHETK2,-9: NOT ASCERTAINED
X4RTHETK2,-9: NOT ASCERTAINED
X5RTHETK2,-9: NOT ASCERTAINED
X6RTHETK2,-9: NOT ASCERTAINED
X1MTHETK2,-9: NOT ASCERTAINED
X2MTHETK2,-9: NOT ASCERTAINED
X3MTHETK2,-9: NOT ASCERTAINED
X4MTHETK2,-9: NOT ASCERTAINED
X5MTHETK2,-9: NOT ASCERTAINED
X6MTHETK2,-9: NOT ASCERTAINED
X2STHETK2,-9: NOT ASCERTAINED
X3STHETK2,-9: NOT ASCERTAINED
X4STHETK2,-9: NOT ASCERTAINED
X5STHETK2,-9: NOT ASCERTAINED
X6STHETK2,-9: NOT ASCERTAINED
X1DCCSTOT,-9: NOT ASCERTAINED
X2DCCSTOT,-9: NOT ASCERTAINED
X3DCCSTOT,-9: NOT ASCERTAINED
X4DCCSTOT,-9: NOT ASCERTAINED
X5DCCSSCR,-9: NOT ASCERTAINED
X6DCCSSCR,-9: NOT ASCERTAINED
X6REGION,-2: DATA SUPPRESSED
X5REGION,-2: DATA SUPPRESSED
X4REGION,-2: DATA SUPPRESSED
X3REGION,-2: DATA SUPPRESSED
X2REGION,-2: DATA SUPPRESSED
X1REGION,-2: DATA SUPPRESSED
X6LOCALE,-9: NOT ASCERTAINED
X6LOCALE,-1: NOT APPLICABLE
X6LOCALE,"1: CITY (11, 12, 13)"
X6LOCALE,"2: SUBURB (21, 22, 23)"
X6LOCALE,"3: TOWN (31, 32, 33)"
X6LOCALE,"4: RURAL (41, 42, 43)"
X5LOCALE,-9: NOT ASCERTAINED
X5LOCALE,-1: NOT APPLICABLE
X5LOCALE,"1: CITY (11, 12, 13)"
X5LOCALE,"2: SUBURB (21, 22, 23)"
X5LOCALE,"3: TOWN (31, 32, 33)"
X5LOCALE,"4: RURAL (41, 42, 43)"
X4LOCALE,-9: NOT ASCERTAINED
X4LOCALE,-1: NOT APPLICABLE
X4LOCALE,"1: CITY (11, 12, 13)"
X4LOCALE,"2: SUBURB (21, 22, 23)"
X4LOCALE,"3: TOWN (31, 32, 33)"
X4LOCALE,"4: RURAL (41, 42, 43)"
X3LOCALE,-9: NOT ASCERTAINED
X3LOCALE,-1: NOT APPLICABLE
X3LOCALE,"1: CITY(11, 12, 13)"
X3LOCALE,"2: SUBURB (21, 22, 23)"
X3LOCALE,"3: TOWN (31, 32, 33)"
X3LOCALE,"4: RURAL (41, 42, 43)"
X2LOCALE,-9: NOT ASCERTAINED
X2LOCALE,-1: NOT APPLICABLE
X2LOCALE,"1: CITY(11, 12, 13)"
X2LOCALE,"2: SUBURB (21, 22, 23)"
X2LOCALE,"3: TOWN (31, 32, 33)"
X2LOCALE,"4: RURAL (41, 42, 43)"
X1LOCALE,-9: NOT ASCERTAINED
X1LOCALE,-1: NOT APPLICABLE
X1LOCALE,"1: CITY(11, 12, 13)"
X1LOCALE,"2: SUBURB (21, 22, 23)"
X1LOCALE,"3: TOWN (31, 32, 33)"
X1LOCALE,"4: RURAL (41, 42, 43)"
X6PAR1EMP_I,-9: NOT ASCERTAINED
X6PAR1EMP_I,1: 35 OR MORE HOURS PER WEEK
X6PAR1EMP_I,2: LESS THAN 35 HOURS PER WEEK
X6PAR1EMP_I,3: LOOKING FOR WORK
X6PAR1EMP_I,4: NOT IN THE LABOR FORCE
X4PAR1EMP_I,-9: NOT ASCERTAINED
X4PAR1EMP_I,1: 35 OR MORE HOURS PER WEEK
X4PAR1EMP_I,2: LESS THAN 35 HOURS PER WEEK
X4PAR1EMP_I,3: LOOKING FOR WORK
X4PAR1EMP_I,4: NOT IN THE LABOR FORCE
X1PAR1EMP,-9: NOT ASCERTAINED
X1PAR1EMP,1: 35 OR MORE HOURS PER WEEK
X1PAR1EMP,2: LESS THAN 35 HOURS PER WEEK
X1PAR1EMP,3: LOOKING FOR WORK
X1PAR1EMP,4: NOT IN THE LABOR FORCE
X4PAR1ED_I,-9: NOT ASCERTAINED
X4PAR1ED_I,1: 8TH GRADE OR LESS
X4PAR1ED_I,2: 9TH - 12TH GRADE
X4PAR1ED_I,3: HIGH SCHOOL DIPLOMA/EQUIVALENT
X4PAR1ED_I,4: VOC/TECH PROGRAM
X4PAR1ED_I,5: SOME COLLEGE
X4PAR1ED_I,6: BACHELOR'S DEGREE
X4PAR1ED_I,7: GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE
X4PAR1ED_I,"8: MASTER'S DEGREE (MA, MS)"
X4PAR1ED_I,9: DOCTORATE OR PROFESSIONAL DEGREE
X6PAR1OCC_I,-9: NOT ASCERTAINED
X6PAR1OCC_I,-1: NO OCCUPATION
X6PAR1OCC_I,"1: EXECUTIVE, ADMIN, MANAGERIAL OCCUPATION"
X6PAR1OCC_I,"2: ENGINEERS, SURVEYORS, & ARCHITECTS"
X6PAR1OCC_I,3: NATURAL SCIENTISTS & MATHEMATICIANS
X6PAR1OCC_I,"4: SOCIAL SCIENTIST/WORKERS, LAWYERS"
X6PAR1OCC_I,"5: UNIVERSITY TEACHERS, POSTSECONDARY COUNSELORS, LIBRARIANS"
X6PAR1OCC_I,"6: TEACHER, EXCEPT POSTSECONDARY"
X6PAR1OCC_I,"7: PHYSICIANS, DENTISTS, VETERINARIANS"
X6PAR1OCC_I,"8: REGISTERED NURSES, PHARMACISTS"
X6PAR1OCC_I,"9: WRITERS, ARTISTS, ENTERTAINERS, ATHLETES"
X6PAR1OCC_I,10: HEALTH TECHNOLOGISTS & TECHNICIANS
X6PAR1OCC_I,"11: TECHNOLOGISTS, EXCEPT HEALTH"
X6PAR1OCC_I,12: MARKETING & SALES OCCUPATION
X6PAR1OCC_I,"13: ADMINISTRATIVE SUPPORT, INCLUDING CLERK"
X6PAR1OCC_I,14: SERVICE OCCUPATIONS
X6PAR1OCC_I,"15: AGRICULTURE, FORESTRY, FISHING OCCUPATIONS"
X6PAR1OCC_I,16: MECHANICS & REPAIRERS
X6PAR1OCC_I,17: CONSTRUCTION & EXTRACTIVE OCCUPATIONS
X6PAR1OCC_I,18: PRECISION PRODUCTION OCCUPATION
X6PAR1OCC_I,19: PRODUCTION WORKING OCCUPATION
X6PAR1OCC_I,"20: TRANSPORTATION, MATERIAL MOVING"
X6PAR1OCC_I,"21: HANDLER, EQUIP, CLEANER, HELPERS, LABOR"
X6PAR1OCC_I,22: UNEMPLOYED/RETIRED/DISABLED/UNCLASSIFIED
X4PAR1OCC_I,-9: NOT ASCERTAINED
X4PAR1OCC_I,-1: NO OCCUPATION
